Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Unnamed: 70,Region,IncomeGroup,SpecialNotes,TableName,Unnamed: 5,Improvement,Population_2023,People_Without_Electricity
Niger,NER,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.01213979721069,4.57177639007568,6.2,7.0,6.23572778701782,6.7,7.32568216323853,6.5,8.4,8.8,9.3,9.7,7.1,9.3,11.2,11.8,12.3,13.6,14.3,14.4,15.2,15.7,16.6,17.0,17.6,17.6,18.5,18.7,18.6,19.5,20.1,,,,Sub-Saharan Africa,Low income,,Niger,,4.400000000000002,26159867.0,20901733.733
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,35.2346000671387,36.0994606018066,36.9636459350586,37.8264694213867,38.6872520446777,39.5453186035156,40.3999824523926,41.2505683898926,44.9,43.2,43.9,44.6,52.2,46.1,46.8,47.6,50.1,50.3,50.0,48.0,55.9,53.0,55.6,54.2,52.5,59.3,54.4,56.5,55.4,55.4,59.5,60.5,61.2,,,,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1970-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Nigeria,,7.0,227882945.0,88418582.66
Rwanda,RWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,1.02783596515656,2.17412757873535,3.31557703018188,6.2,4.7,6.0,7.4,8.7,4.8,11.4,12.8,6.0,15.6,9.7,10.8,17.5,15.2,19.8,22.8,29.4,34.1,38.0,46.6,45.2,48.7,50.6,63.9,,,,Sub-Saharan Africa,Low income,,Rwanda,,44.099999999999994,13954471.0,5037564.0309999995
Sudan,SDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,26.9192943572998,27.4086132049561,27.897253036499,28.3845348358154,28.8697834014893,29.35231590271,29.8314571380615,30.3065280914307,30.7767562866211,23.0,29.4,29.7,29.9,30.2,30.5,30.8,31.1,20.0,29.0,36.0,38.3,40.7,43.1,44.9,48.0,50.5,53.0,55.3,57.6,59.7,61.8,63.2,66.0,,,,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2018-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sudan,,21.1,50042791.0,17014548.939999998
Senegal,SEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,27.190486907959,28.8571910858154,30.5211772918701,32.2,33.8382682800293,36.2,37.7,38.9,36.8,41.9,36.8,47.1,49.9,48.1,49.7,53.5,56.5,56.5,56.5,57.0,61.0,60.5,64.5,61.7,66.0,70.4,64.3,68.0,67.9,74.2,,,,Sub-Saharan Africa,Lower middle income,,Senegal,,13.200000000000003,18077573.0,4664013.834
Sierra Leone,SLE,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,8.5,9.2,9.9,16.8,11.3,12.2,13.0,12.1,14.6,11.5,14.2,17.2,13.5,18.8,19.7,20.3,23.4,26.1,22.7,26.3,27.5,29.4,35.5,,,,Sub-Saharan Africa,Low income,,Sierra Leone,,16.7,8460512.0,5457030.24
"Somalia, Fed. Rep.",SOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,4.7,7.4,9.8,12.4,15.0,15.2,20.2,22.9,25.5,52.3,52.0,51.8,51.5,51.4,51.2,51.1,52.1,50.7,49.2,49.9,49.3,48.9,50.3,,,,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1977-2017. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Somalia, Fed. Rep.",,-1.1000000000000014,18358615.0,9124231.655
South Sudan,SSD,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1.3,3.0,1.5,2.8,3.3,3.8,4.3,4.8,5.3,4.2,6.3,6.8,7.3,7.7,8.4,5.4,,,,Sub-Saharan Africa,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",South Sudan,,1.1000000000000005,11483374.0,10863271.804
Sao Tome and Principe,STP,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9,51.5,52.5,53.6,54.7,55.8,56.9,58.0,59.1,56.9,61.4,62.6,57.9,65.0,68.6,67.3,69.4,74.3,71.0,75.1,76.8,78.5,78.0,81.3,,,,Sub-Saharan Africa,Lower middle income,National account data were adjusted to reflect the new banknote (1 new Dobra STN = 1000 old Dobra STD),São Tomé and Principe,,12.700000000000003,230871.0,43172.877000000015
Eswatini,SWZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,26.9,25.9,28.7,31.4,34.2,35.2,39.8,42.6,38.6,45.6,51.2,54.3,57.5,65.0,64.1,63.4,73.5,74.0,77.0,80.0,82.9,82.3,86.4,,,,Sub-Saharan Africa,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.,Eswatini,,21.400000000000006,1230506.0,167348.81599999988
Seychelles,SYC,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,92.1736526489258,92.552490234375,92.0,93.2992935180664,93.6658096313477,94.1,94.4,96.1,94.9,95.2,95.5,99.0,96.1,96.5,96.8,97.0,98.1,98.3,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,Sub-Saharan Africa,High income,,Seychelles,,0.0,119773.0,0.0
Chad,TCD,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.42038726806641,2.80621337890625,3.1,3.4,3.8,4.1,3.5,4.8,5.1,5.5,5.9,6.3,6.4,9.0,7.8,8.1,8.4,7.7,9.2,10.9,10.1,8.4,10.9,11.3,11.7,12.0,,,,Sub-Saharan Africa,Low income,,Chad,,3.5999999999999996,19319064.0,17000776.32
